merged: 2371 businesses (163 already have a Facebook tag)
  25/2195 sites fetched, 6 Facebook pages found
  50/2195 sites fetched, 16 Facebook pages found
  75/2195 sites fetched, 23 Facebook pages found
  100/2195 sites fetched, 25 Facebook pages found
  125/2195 sites fetched, 29 Facebook pages found
  150/2195 sites fetched, 40 Facebook pages found
  175/2195 sites fetched, 46 Facebook pages found
  200/2195 sites fetched, 53 Facebook pages found
  225/2195 sites fetched, 62 Facebook pages found
  250/2195 sites fetched, 69 Facebook pages found
  275/2195 sites fetched, 76 Facebook pages found
  300/2195 sites fetched, 82 Facebook pages found
  325/2195 sites fetched, 86 Facebook pages found
  350/2195 sites fetched, 89 Facebook pages found
  375/2195 sites fetched, 96 Facebook pages found
  400/2195 sites fetched, 103 Facebook pages found
  425/2195 sites fetched, 108 Facebook pages found
  450/2195 sites fetched, 112 Facebook pages found
  475/2195 sites fetched, 119 Facebook pages found
  500/2195 sites fetched, 124 Facebook pages found
  525/2195 sites fetched, 132 Facebook pages found
  550/2195 sites fetched, 140 Facebook pages found
  575/2195 sites fetched, 149 Facebook pages found
  600/2195 sites fetched, 157 Facebook pages found
  625/2195 sites fetched, 158 Facebook pages found
  650/2195 sites fetched, 171 Facebook pages found
  675/2195 sites fetched, 176 Facebook pages found
  700/2195 sites fetched, 181 Facebook pages found
  725/2195 sites fetched, 192 Facebook pages found
  750/2195 sites fetched, 201 Facebook pages found
  775/2195 sites fetched, 210 Facebook pages found
  800/2195 sites fetched, 218 Facebook pages found
  825/2195 sites fetched, 225 Facebook pages found
  850/2195 sites fetched, 229 Facebook pages found
  875/2195 sites fetched, 237 Facebook pages found
  900/2195 sites fetched, 243 Facebook pages found
  925/2195 sites fetched, 248 Facebook pages found
  950/2195 sites fetched, 257 Facebook pages found
  975/2195 sites fetched, 264 Facebook pages found
  1000/2195 sites fetched, 270 Facebook pages found
  1025/2195 sites fetched, 281 Facebook pages found
  1050/2195 sites fetched, 294 Facebook pages found
  1075/2195 sites fetched, 300 Facebook pages found
  1100/2195 sites fetched, 308 Facebook pages found
  1125/2195 sites fetched, 315 Facebook pages found
  1150/2195 sites fetched, 324 Facebook pages found
  1175/2195 sites fetched, 333 Facebook pages found
  1200/2195 sites fetched, 340 Facebook pages found
  1225/2195 sites fetched, 348 Facebook pages found
  1250/2195 sites fetched, 357 Facebook pages found
  1275/2195 sites fetched, 364 Facebook pages found
  1300/2195 sites fetched, 377 Facebook pages found
  1325/2195 sites fetched, 387 Facebook pages found
  1350/2195 sites fetched, 403 Facebook pages found
  1375/2195 sites fetched, 414 Facebook pages found
  1400/2195 sites fetched, 421 Facebook pages found
  1425/2195 sites fetched, 435 Facebook pages found
  1450/2195 sites fetched, 444 Facebook pages found
  1475/2195 sites fetched, 454 Facebook pages found
  1500/2195 sites fetched, 465 Facebook pages found
  1525/2195 sites fetched, 476 Facebook pages found
  1550/2195 sites fetched, 488 Facebook pages found
  1575/2195 sites fetched, 496 Facebook pages found
  1600/2195 sites fetched, 508 Facebook pages found
  1625/2195 sites fetched, 518 Facebook pages found
  1650/2195 sites fetched, 525 Facebook pages found
  1675/2195 sites fetched, 533 Facebook pages found
  1700/2195 sites fetched, 543 Facebook pages found
  1725/2195 sites fetched, 556 Facebook pages found
  1750/2195 sites fetched, 565 Facebook pages found
  1775/2195 sites fetched, 574 Facebook pages found
  1800/2195 sites fetched, 582 Facebook pages found
  1825/2195 sites fetched, 586 Facebook pages found
  1850/2195 sites fetched, 588 Facebook pages found
  1875/2195 sites fetched, 596 Facebook pages found
  1900/2195 sites fetched, 603 Facebook pages found
  1925/2195 sites fetched, 607 Facebook pages found
  1950/2195 sites fetched, 616 Facebook pages found
  1975/2195 sites fetched, 624 Facebook pages found
  2000/2195 sites fetched, 630 Facebook pages found
  2025/2195 sites fetched, 639 Facebook pages found
  2050/2195 sites fetched, 649 Facebook pages found
  2075/2195 sites fetched, 652 Facebook pages found
  2100/2195 sites fetched, 661 Facebook pages found
  2125/2195 sites fetched, 674 Facebook pages found
  2150/2195 sites fetched, 691 Facebook pages found
  2175/2195 sites fetched, 705 Facebook pages found

facebook pages: 877 (714 newly found from websites)
queued 739 new candidates; queue=(739, 0)
