4301 businesses | 163 facebook-tagged in OSM
  25/2225 sites, 2 pages
  50/2225 sites, 13 pages
  75/2225 sites, 22 pages
  100/2225 sites, 29 pages
  125/2225 sites, 31 pages
  150/2225 sites, 37 pages
  175/2225 sites, 44 pages
  200/2225 sites, 50 pages
  225/2225 sites, 56 pages
  250/2225 sites, 62 pages
  275/2225 sites, 69 pages
  300/2225 sites, 75 pages
  325/2225 sites, 81 pages
  350/2225 sites, 82 pages
  375/2225 sites, 87 pages
  400/2225 sites, 94 pages
  425/2225 sites, 102 pages
  450/2225 sites, 104 pages
  475/2225 sites, 109 pages
  500/2225 sites, 113 pages
  525/2225 sites, 119 pages
  550/2225 sites, 126 pages
  575/2225 sites, 137 pages
  600/2225 sites, 141 pages
  625/2225 sites, 147 pages
  650/2225 sites, 151 pages
  675/2225 sites, 160 pages
  700/2225 sites, 164 pages
  725/2225 sites, 174 pages
  750/2225 sites, 181 pages
  775/2225 sites, 191 pages
  800/2225 sites, 196 pages
  825/2225 sites, 202 pages
  850/2225 sites, 208 pages
  875/2225 sites, 212 pages
  900/2225 sites, 220 pages
  925/2225 sites, 224 pages
  950/2225 sites, 232 pages
  975/2225 sites, 237 pages
  1000/2225 sites, 244 pages
  1025/2225 sites, 252 pages
  1050/2225 sites, 258 pages
  1075/2225 sites, 270 pages
  1100/2225 sites, 276 pages
  1125/2225 sites, 281 pages
  1150/2225 sites, 288 pages
  1175/2225 sites, 297 pages
  1200/2225 sites, 307 pages
  1225/2225 sites, 312 pages
  1250/2225 sites, 320 pages
  1275/2225 sites, 325 pages
  1300/2225 sites, 332 pages
  1325/2225 sites, 344 pages
  1350/2225 sites, 355 pages
  1375/2225 sites, 370 pages
  1400/2225 sites, 379 pages
  1425/2225 sites, 389 pages
  1450/2225 sites, 400 pages
  1475/2225 sites, 407 pages
  1500/2225 sites, 418 pages
  1525/2225 sites, 428 pages
  1550/2225 sites, 436 pages
  1575/2225 sites, 447 pages
  1600/2225 sites, 452 pages
  1625/2225 sites, 466 pages
  1650/2225 sites, 475 pages
  1675/2225 sites, 479 pages
  1700/2225 sites, 490 pages
  1725/2225 sites, 498 pages
  1750/2225 sites, 510 pages
  1775/2225 sites, 521 pages
  1800/2225 sites, 526 pages
  1825/2225 sites, 533 pages
  1850/2225 sites, 536 pages
  1875/2225 sites, 538 pages
  1900/2225 sites, 547 pages
  1925/2225 sites, 555 pages
  1950/2225 sites, 561 pages
  1975/2225 sites, 567 pages
  2000/2225 sites, 572 pages
  2025/2225 sites, 581 pages
  2050/2225 sites, 592 pages
  2075/2225 sites, 596 pages
  2100/2225 sites, 600 pages
  2125/2225 sites, 607 pages
  2150/2225 sites, 622 pages
  2175/2225 sites, 639 pages
  2200/2225 sites, 649 pages
  2225/2225 sites, 654 pages

facebook pages after re-harvest: 802
queued 47 new | queue=(47, 943)
